question,correct_answer,system_guess,labels
enormously,tremendously,immensely,wrong
provisions,stipulations,provision,wrong
haphazardly,randomly,haphazard,wrong
prominent,conspicuous,influential,wrong
zenith,pinnacle,apogee,wrong
flawed,imperfect,deeply_flawed,wrong
urgently,desperately,urgent,wrong
consumed,eaten,consume,wrong
advent,coming,introduction,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,salute,wrong
solitary,alone,lonely,wrong
hasten,accelerate,hastened,wrong
perseverance,endurance,tenacity,wrong
fanciful,imaginative,fantastical,wrong
showed,demonstrated,showing,wrong
constantly,continually,continually,correct
issues,subjects,issue,wrong
furnish,supply,furnished,wrong
costly,expensive,expensive,correct
recognized,acknowledged,Recognized,wrong
spot,location,spots,wrong
make,earn,making,wrong
often,frequently,sometimes,wrong
easygoing,relaxed,affable,wrong
debate,argument,debates,wrong
narrow,thin,Narrow,wrong
arranged,planned,arrange,wrong
infinite,limitless,limitless,correct
showy,striking,flashy,wrong
levied,imposed,levying,wrong
deftly,skillfully,skillfully,correct
distribute,circulate,distributing,wrong
discrepancies,differences,discrepancy,wrong
prolific,productive,Prolific,wrong
unmatched,unequaled,unparalleled,wrong
peculiarly,uniquely,ineffably,wrong
hue,color,hues,wrong
hind,rear,hindquarters,wrong
highlight,accentuate,highlights,wrong
hastily,hurriedly,hurriedly,correct
temperate,mild,temperate_climate,wrong
grin,smile,smile,correct
verbally,orally,verbal,wrong
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,eager,wrong
situated,positioned,located,wrong
principal,major,Principal,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,mundane_tasks,wrong
unlikely,improbable,likely,wrong
halfheartedly,apathetically,half_heartedly,wrong
annals,chronicles,history,wrong
wildly,furiously,crazily,wrong
hailed,acclaimed,lauded,wrong
command,mastery,commands,wrong
concocted,devised,concocting,wrong
prospective,potential,Prospective,wrong
generally,broadly,typically,wrong
sustained,prolonged,sustaining,wrong
perilous,dangerous,precarious,wrong
tranquillity,peacefulness,,guess
dissipate,disperse,dissipated,wrong
primarily,chiefly,principally,wrong
colloquial,conversational,slang,wrong
resolved,settled,solved,wrong
feasible,possible,economically_feasible,wrong
expeditiously,rapidly,expeditious_manner,wrong
percentage,proportion,per_centage,wrong
terminated,ended,terminate,wrong
uniform,alike,uniforms,wrong
figure,solve,figures,wrong
sufficient,enough,adequate,wrong
fashion,manner,fashions,wrong
marketed,sold,Marketed,wrong
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,usually,wrong
